Species ID	Species fullname	Number of contigs	Total contig length	N50 length	N90 length	Max length	% G+C content	% CheckM completeness	% CheckM contamination	Quality score	Phylum	Class	Order	Family	Genus	Species
M287	Clostridium M287	89	1863626	32954	11895	112964	57.31	89.02	0.84	84.82	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_Clostridium	NA
M288	Megasphaera elsdenii M288	47	2375680	80559	28172	161059	53.4	99.4	0	99.4	Firmicutes	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera elsdenii
M289	Oscillospiraceae M289	141	2572096	26685	8453	101933	58.69	93.62	0.67	90.27	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M28A	Alistipes M28A	121	2950890	31855	11692	122344	51.72	91.98	0.63	88.83	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M28B	Acutalibacteraceae M28B	36	2145271	97256	30947	177753	61.69	97.99	0	97.99	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M28C	Ruminococcus M28C	22	2394049	163178	64263	282401	44.32	97.09	0	97.09	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Ruminococcus	NA
M28D	Mitsuokella jalaludinii M28D	21	2449091	171494	56066	304920	58.43	100	0.08	99.6	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella jalaludinii
M28E	Alistipes M28E	12	2448344	453823	98312	804665	46.2	100	0.48	97.6	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M28F	Collinsella M28F	315	1588070	5931	2616	30579	60.08	74.52	1.61	66.47	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M290	Dorea M290	156	2307946	22103	6384	66192	43.48	90.79	1.22	84.69	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA
M291	Weissella cibaria M291	76	1865192	50070	11041	136291	44.77	98.16	0	98.16	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella cibaria
M292	Christensenellaceae M292	136	1652999	16407	5969	54148	53.12	94.59	0.81	90.54	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_NA	NA
M293	Eubacterium M293	37	2751467	250903	53096	338787	33.12	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Eubacterium	NA
M294	Lawsonibacter asaccharolyticus M294	32	2523281	160629	38607	283924	61.38	91.95	0	91.95	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus
M295	Megasphaera M295	60	2126384	48972	17638	243168	54.4	100	0	100	Firmicutes	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
M296	Muribaculaceae M296	28	2769111	153244	52809	356651	54.27	91.01	0.38	89.11	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M297	Ruminococcus M297	80	2571628	49661	17358	225265	46.11	94.94	0.02	94.84	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Ruminococcus	NA
M298	Pauljensenia M298	324	1978439	7414	2949	25642	65.94	79.83	3.8	60.83	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Pauljensenia	NA
M299	Sutterella M299	323	2106738	7800	3360	26847	61.61	86.73	1.94	77.03	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	NA
M29A	Alistipes M29A	25	2707664	163396	42298	393705	56.76	100	0.48	97.6	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M29B	Oscillospiraceae M29B	42	2433153	106289	26680	195028	56.55	91.72	0.67	88.37	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M29C	Clostridium M29C	19	1257222	146968	37779	185074	29.46	74.71	0.22	73.61	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M29D	CAG-74 M29D	166	3040538	23867	9277	107279	58.15	99.19	1.88	89.79	Firmicutes	Clostridia	Christensenellales	CAG-74	CAG-74_NA	NA
M29E	Bifidobacterium angulatum M29E	71	1623549	40411	10956	78541	59.98	77.88	2.67	64.53	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
M29F	Anaerotruncus M29F	59	2182396	59029	19816	146998	53.68	88.48	0.67	85.13	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	NA
M2A0	QALW01 M2A0	176	1743280	12457	4900	71870	51.95	88.34	1.4	81.34	Firmicutes	Clostridia	Christensenellales	QALW01	QALW01_NA	NA
M2A1	Oscillospiraceae M2A1	176	2093127	18526	5049	59075	57.44	89.61	3.52	72.01	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M2A2	Borkfalkiaceae M2A2	32	2219731	110235	35233	239604	46.06	93.95	3.23	77.8	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkiaceae_NA	NA
M2A3	Collinsella M2A3	97	1779290	35704	7014	100266	59.75	78.17	1.61	70.12	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2A4	Gemmiger M2A4	121	1959123	25258	7213	116807	57.63	83.72	2.04	73.52	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
M2A5	Gemmiger M2A5	219	2265263	13094	4671	109032	58.86	96.36	4.45	74.11	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
M2A6	Blautia M2A6	48	3085713	143719	32896	220759	44.65	98.73	0.32	97.13	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M2A7	Muricomes M2A7	110	4915741	77939	19825	255782	46.15	97.08	0	97.08	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	NA
M2A8	Coprococcus M2A8	89	2740018	50726	13385	112595	43.43	97.71	1.34	91.01	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
M2A9	Evtepia M2A9	111	2278804	31225	10320	85434	61.34	98.32	1.34	91.62	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	NA
M2AA	Anaerovoracaceae M2AA	142	2746563	30148	9404	95252	47.87	95.39	0.24	94.19	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovoracaceae_NA	NA
M2AB	Dialister invisus M2AB	19	1642104	199509	52632	550157	45.3	98.1	0.63	94.95	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister invisus
M2AC	Oscillibacter M2AC	123	2307720	30553	8225	102602	57.76	94.45	3.38	77.55	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M2AD	Evtepia M2AD	47	2179200	144010	20240	195736	64.44	96.31	0.67	92.96	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	NA
M2AE	Prevotellamassilia M2AE	95	2503598	36749	13453	222337	50.69	95.82	0.74	92.12	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	NA
M2AF	Megasphaera M2AF	55	2497831	66886	18707	212781	51.16	93.25	0	93.25	Firmicutes	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA
M2B0	Roseburia M2B0	85	3456384	74129	22010	232318	41.78	97.1	0.12	96.5	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
M2B1	Porphyromonas M2B1	229	1904833	10533	4284	39209	53.12	89.82	1.64	81.62	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
M2B2	Parvimonas micra M2B2	103	1579352	25108	6105	104616	27.88	93.9	3.24	77.7	Firmicutes	Clostridia	Tissierellales	Helcococcaceae	Parvimonas	Parvimonas micra
M2B3	Mitsuokella multacida M2B3	204	2060217	13686	4915	39809	58.13	95.31	0.31	93.76	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida
M2B4	Alistipes M2B4	13	2632170	291585	127079	514602	61.39	100	0.48	97.6	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M2B5	Ruminococcus M2B5	28	2193815	100342	53366	197623	53.71	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Ruminococcus	NA
M2B6	CAG-288 M2B6	131	785283	7528	2791	30294	34.92	70.22	0	70.22	Tenericutes	Mollicutes	RFN20	CAG-288	CAG-288_NA	NA
M2B7	Muribaculaceae M2B7	135	2334053	26678	8602	70914	55.44	91.19	0.38	89.29	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M2B8	Eggerthellaceae M2B8	60	2038575	58486	16393	163473	58.95	97.38	0.81	93.33	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthellaceae_NA	NA
M2B9	Collinsella M2B9	24	2267006	171754	46930	373712	59.62	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2BA	Blautia M2BA	460	2230755	5452	2579	32041	42.06	76.46	0.84	72.26	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M2BB	Collinsella M2BB	134	2049791	28538	6649	65495	59.92	90.81	0.81	86.76	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2BC	Longicatena innocuum M2BC	55	4037571	191375	38237	261824	43.99	100	0	100	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena innocuum
M2BD	Enterocloster M2BD	83	3553705	64514	22699	253062	43.85	98.79	0.63	95.64	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA
M2BE	Phocaeicola M2BE	85	3158356	58194	22092	146751	47.66	95.88	0.19	94.93	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	NA
M2BF	Citrobacter freundii M2BF	67	4887607	125476	42799	580569	51.63	98.19	0.35	96.44	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
M2C0	Clostridium M2C0	42	2724321	95194	30889	426765	49.54	98.1	0	98.1	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M2C1	Fusobacterium M2C1	88	2398183	48683	14966	113852	29.23	88.76	2.25	77.51	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
M2C2	Collinsella M2C2	14	1361681	145674	78965	293115	59.42	73.39	0	73.39	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2C3	Streptococcus pasteurianus M2C3	29	2018038	108721	29700	336225	37.27	100	0	100	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus
M2C4	Anaerobutyricum hallii M2C4	92	3082152	73599	16480	182717	37.82	100	1.34	93.3	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii
M2C5	Veillonella M2C5	238	1630548	8471	3846	25464	39.41	80.29	1	75.29	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	NA
M2C6	Clostridium M2C6	248	2480710	13155	4768	83296	49.4	90.45	0.63	87.3	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M2C7	Klebsiella aerogenes M2C7	54	4965919	112155	46858	386154	55.27	97.87	0.39	95.92	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
M2C8	Blautia M2C8	310	2305130	10330	3347	53268	42.45	80.33	0.88	75.93	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M2C9	Streptococcus downei M2C9	75	2088308	52854	12373	199461	43.65	91.76	2.25	80.51	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus downei
M2CA	Oscillibacter M2CA	72	1830457	45017	11869	130852	61.14	89.19	2.01	79.14	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M2CB	Ruminococcaceae M2CB	312	2002793	7867	3308	30668	45.7	83.05	1.68	74.65	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M2CC	Raoultibacter timonensis M2CC	495	3216948	8009	3300	37223	60.17	79.49	0.27	78.14	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter timonensis
M2CD	Mogibacterium M2CD	21	2028237	180559	44022	381375	46.45	99.29	0	99.29	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mogibacterium	NA
M2CE	Eggerthella sinensis M2CE	46	3955332	112117	46296	253844	65.19	100	0.81	95.95	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella sinensis
M2CF	Gordonibacter pamelaeae M2CF	130	3068431	38729	11786	165478	66.68	94.27	1.28	87.87	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter pamelaeae
M2D0	Longicatena M2D0	308	1133997	3815	2243	14389	35.31	75.73	0	75.73	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Longicatena	NA
M2D1	Oscillospiraceae M2D1	217	1624752	9394	3622	42371	62.17	87.37	0.67	84.02	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M2D2	Bacteroides M2D2	72	2580615	51122	17911	224313	49.2	95.48	0.24	94.28	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
M2D3	Peptococcaceae M2D3	27	2314355	118404	49299	431672	54.92	79.82	1.02	74.72	Firmicutes	Peptococcia	Peptococcales	Peptococcaceae	Peptococcaceae_NA	NA
M2D4	Faecalibacterium prausnitzii M2D4	28	2369202	119148	42558	408838	58.02	100	0	100	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
M2D5	Muribaculaceae M2D5	320	2491590	9439	4071	42053	58.11	81.94	0.75	78.19	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M2D6	Raoultella ornithinolytica M2D6	19	5530336	591457	106702	1103819	55.64	98.8	1.38	91.9	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
M2D7	Enterococcus faecalis M2D7	114	2709371	36129	13257	138884	37.55	98.69	0	98.69	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
M2D8	Collinsella M2D8	203	1923721	12678	4483	37802	60.07	89.52	0.9	85.02	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2D9	Parabacteroides acidifaciens M2D9	210	4595160	32611	9462	170470	45.84	91.65	1.75	82.9	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides acidifaciens
M2DA	Eubacterium limosum M2DA	61	3500563	87605	28432	383855	46.99	83.57	0	83.57	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacteriaceae_Eubacterium	Eubacterium limosum
M2DB	Sellimonas intestinalis M2DB	29	3106085	195439	39942	589230	45.2	97.66	0.88	93.26	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
M2DC	Acutalibacteraceae M2DC	25	1756846	101609	40266	200076	49.87	94.63	0	94.63	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M2DD	Collinsella M2DD	180	1978362	16013	4900	51975	60.36	97.18	1.19	91.23	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2DE	Lachnospira M2DE	30	2551141	162179	52360	294658	36.26	98.66	0	98.66	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
M2DF	Gemmiger formicilis M2DF	60	2344777	70437	17619	240836	60.69	96.6	0	96.6	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis
M2E0	Lachnospiraceae M2E0	149	2683193	30811	8324	116998	44.94	95.49	1.27	89.14	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M2E1	Collinsella M2E1	36	2150778	102044	30466	355163	59.62	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M2E2	Slackia piriformis M2E2	24	2182585	114399	50534	245709	57.46	100	0	100	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia piriformis
M2E3	UMGS1783 M2E3	140	1701794	18403	4939	58443	59.78	85.23	2.07	74.88	Firmicutes	Clostridia	Oscillospirales	UMGS1783	UMGS1783_NA	NA
M2E4	Klebsiella variicola M2E4	44	5219781	220374	54223	682944	57.6	97.97	0.24	96.77	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
M2E5	Eggerthella M2E5	176	1276838	8509	3949	28496	44.94	74.91	0	74.91	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	NA
M2E6	Acutalibacteraceae M2E6	272	1889216	8516	3672	32086	52.54	77.8	2.85	63.55	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M2E7	Butyricimonas M2E7	44	5186997	238944	60038	459234	42.56	98.92	0	98.92	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	NA
M2E8	Slackia piriformis M2E8	72	2148739	59649	14278	153371	57.87	99.6	0	99.6	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia piriformis
M2E9	Coriobacteriaceae M2E9	58	1981264	66146	13941	241908	59.14	96.77	1.08	91.37	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_NA	NA
M2EA	Oscillospiraceae M2EA	138	2097839	21341	7327	47722	58.58	95.69	4.39	73.74	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M2EB	Ligilactobacillus ruminis M2EB	28	2013205	104507	34566	215902	43.88	99.48	0	99.48	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis
M2EC	Oscillospiraceae M2EC	371	1899312	5798	2920	22816	50.56	72.21	1.01	67.16	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M2ED	Faecalicoccus pleomorphus M2ED	250	1187170	5011	2664	20359	40.38	70.08	1.89	60.63	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Faecalicoccus pleomorphus
M2EE	Ruminococcaceae M2EE	122	1759713	20761	7212	160910	51.47	90.58	0.67	87.23	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M2EF	Blautia M2EF	117	2923721	44830	11759	142176	38.39	99.36	0	99.36	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M2F0	Lachnospira M2F0	44	2970812	106592	33815	291847	36.9	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
M2F1	Ruminococcus M2F1	76	2202089	51777	13389	214826	33.61	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Ruminococcus	NA
M2F2	Senegalimassilia anaerobia M2F2	33	2235941	109187	37796	203931	62.16	95.16	0	95.16	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia
M2F3	Phascolarctobacterium M2F3	67	1737801	37551	10582	105707	44.11	98.2	0.3	96.7	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA
M2F4	Coriobacteriaceae M2F4	171	1586620	13106	4303	57669	61.11	90.87	0.15	90.12	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_NA	NA
M2F5	Lachnospiraceae M2F5	32	2211345	103283	39881	379824	41.7	96.84	0.37	94.99	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M2F6	Muribaculaceae M2F6	38	2524034	89314	26787	253933	53.02	86.04	0	86.04	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M2F7	Alistipes M2F7	12	3691023	508145	196073	862775	58.95	99.76	0.96	94.96	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M2F8	Phocaeicola coprophilus M2F8	64	2935912	71269	24316	227739	46.09	95.88	0.25	94.63	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprophilus
M2F9	Muribaculaceae M2F9	29	2279343	129786	31113	344524	50.51	91.51	0	91.51	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M2FA	Clostridium M2FA	143	3479528	42090	13131	100423	27.58	98.39	1.08	92.99	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M2FB	Eubacterium M2FB	16	1965269	195285	78986	385179	44.44	97.99	0.34	96.29	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M2FC	Mycoplasma M2FC	21	1219775	89199	30388	282611	26.47	91.57	0	91.57	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
M2FD	UBA1829 M2FD	585	4766349	10951	3917	57667	51.87	89.71	3.6	71.71	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829_NA	NA
M2FE	Phocaeicola massiliensis M2FE	98	3650893	64779	20788	186184	42.22	96.64	0.19	95.69	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis
M2FF	Micrococcaceae M2FF	80	2554208	51055	16049	135236	71.9	98.19	0.98	93.29	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcaceae_NA	NA
M300	Gelidibacter M300	239	4117890	28381	7663	89279	38.07	96.53	2.15	85.78	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gelidibacter	NA
M301	Thermomonas M301	27	2568925	177394	46335	502341	69.69	98.29	1.38	91.39	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA
M302	Palsa M302	914	4731650	6038	2806	35361	38.1	79.03	3.23	62.88	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Palsa	NA
M303	Dermatophilaceae M303	44	4125994	134554	55469	383747	70.84	100	0	100	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Dermatophilaceae_NA	NA
M304	Pseudoxanthomonas M304	436	1871964	4611	2463	20809	65.51	70.6	1.8	61.6	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA
M305	Micropruina M305	260	4476392	28103	8312	137438	70.29	95.68	3.07	80.33	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Micropruina	NA
M306	Aquamicrobium M306	187	3951493	33836	10222	137921	66.91	97.94	1.8	88.94	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aquamicrobium	NA
M307	Eubacterium ramulus M307	226	3059640	20521	6437	90137	42.88	98.28	2.16	87.48	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Eubacterium	Eubacterium ramulus
M308	Mediterraneibacter torques M308	61	2435852	61470	18018	166552	41.83	99.87	0	99.87	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter torques
M309	Terrisporobacter M309	181	2988707	29403	7126	110230	27.36	82.76	0	82.76	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	NA
M30A	Lacticaseibacillus paracasei M30A	151	2749437	27238	8314	152574	46.49	96.34	0.56	93.54	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
M30B	Ruminococcus M30B	35	2398990	180710	23256	584089	45.72	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M30C	UBA1381 M30C	306	3508992	18068	5021	100753	42.17	93.49	3.49	76.04	Firmicutes	Clostridia	Monoglobales	UBA1381	UBA1381_NA	NA
M30D	Ruminococcaceae M30D	22	1673843	120957	29755	267057	45.51	92.17	0	92.17	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M30E	Butyricimonas faecalis M30E	83	3931622	69241	26840	180557	42.65	94.84	0.65	91.59	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas faecalis
M30F	Ruminococcaceae M30F	18	1847714	180107	55042	276061	53.36	88.26	0	88.26	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M310	Butyricicoccaceae M310	185	2137179	17217	5461	71115	56.6	93.12	1.23	86.97	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccaceae_NA	NA
M311	Borkfalkiaceae M311	164	1654229	14014	4818	58500	51.32	93.34	0.81	89.29	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkiaceae_NA	NA
M312	Acutalibacteraceae M312	85	1466140	24370	8428	84494	44.97	90.1	1.12	84.5	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M313	Christensenellaceae M313	31	1540714	70111	25519	152689	51.31	92.31	0	92.31	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_NA	NA
M314	CAG-312 M314	10	2262489	537276	121765	620366	55.51	94.59	0.68	91.19	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312_NA	NA
M315	Atopobiaceae M315	100	2169840	31367	11261	85045	69.91	96.37	0	96.37	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobiaceae_NA	NA
M316	Eubacterium M316	55	2278258	65670	23006	248423	35.34	99.66	0.22	98.56	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Eubacterium	NA
M317	Lachnospiraceae M317	70	3187290	86604	26763	225574	43.75	96.62	1.87	87.27	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M318	CAG-611 M318	1	1273681	1273681	1273681	1273681	27.68	93.26	1.28	86.86	Tenericutes	Mollicutes	Mycoplasmatales	CAG-611	CAG-611_NA	NA
